(0, -5)
(8, -5)
(-8, -5)
(16, 5)
(16, -5)
(3, 11)
(11, 11)
(-3, 11)
(-11, 11)
(19, 11)
(3, -11)
(-3, -11)
(11, -11)
(-11, -11)
(1, 4)
(-1, 4)
(9, 4)
(1, -4)
(-1, -4)
(-9, 4)
(9, -4)
(-9, -4)
(17, 4)
(17, -4)
(4, 10)
(12, 10)
(-4, 10)
(-12, 10)
(4, -10)
(-4, -10)
(12, -10)
(20, 10)
(-12, -10)
(20, -10)
(2, 3)
(-2, 3)
(10, 3)
(2, -3)
(-2, -3)
(10, -3)
(-10, 3)
(-10, -3)
(18, 3)
(18, -3)
(5, 9)
(-5, 9)
(13, 9)
(5, -9)
(-5, -9)
(-13, 9)
(13, -9)
(-13, -9)
(3, 2)
(-3, 2)
(3, -2)
(11, 2)
(-3, -2)
(11, -2)
(-11, 2)
(-11, -2)
(19, 2)
(19, -2)
(6, 8)
(-6, 8)
(14, 8)
(6, -8)
(-6, -8)
(14, -8)
(-14, 8)
(-14, -8)
(4, 1)
(-4, 1)
(4, -1)
(-4, -1)
(12, 1)
(12, -1)
(-12, 1)
(-12, -1)
(20, 1)
(20, -1)
(9, 14)
(-9, 14)
(17, 14)
(1, 14)
(-1, 14)
(7, 7)
(-7, 7)
(7, -7)
(15, 7)
(-7, -7)
(15, -7)
(-15, 7)
(-15, -7)
(5, 0)
(-5, 0)
(13, 0)
(-13, 0)
(2, 13)
(10, 13)
(-2, 13)
(-10, 13)
(18, 13)
(8, 6)
(0, 6)
(-8, 6)
(0, -6)
(8, -6)
(16, 6)
(-8, -6)
(16, -6)
(3, 12)
(11, 12)
(-3, 12)
(-11, 12)
(19, 12)
(-3, -12)
(3, -12)
(11, -12)
(-11, -12)
(1, 5)
(-1, 5)
(9, 5)
(1, -5)
(-1, -5)
(-9, 5)
(9, -5)
(-9, -5)
(17, 5)
(17, -5)
(4, 11)
(12, 11)
(-4, 11)
(-12, 11)
(4, -11)
(-4, -11)
(12, -11)
(20, 11)
(2, 4)
(-2, 4)
(10, 4)
(2, -4)
(-2, -4)
(10, -4)
(-10, 4)
(-10, -4)
(18, 4)
(18, -4)
(5, 10)
(-5, 10)
(13, 10)
(-13, 10)
(5, -10)
(-5, -10)
(13, -10)
(-13, -10)
(-11, 3)
(-11, -3)
(3, 3)
(-3, 3)
(11, 3)
(3, -3)
(-3, -3)
(11, -3)
(19, 3)
(19, -3)
(6, 9)
(-6, 9)
(14, 9)
(6, -9)
(-6, -9)
(-14, 9)
(14, -9)
(-14, -9)
(4, 2)
(-4, 2)
(4, -2)
(12, 2)
(-4, -2)
(12, -2)
(-12, 2)
(-12, -2)
(20, 2)
(20, -2)
(7, -8)
(-7, -8)
(7, 8)
(-7, 8)
(15, 8)
(15, -8)
(-15, 8)
(-15, -8)
(5, 1)
(-5, 1)
(5, -1)
(-5, -1)
(13, 1)
(13, -1)
(-13, 1)
(-13, -1)
(2, 14)
(10, 14)
(-2, 14)
(-10, 14)
(18, 14)
(8, -7)
(16, 7)
(8, 7)
(0, 7)
(-8, 7)
(0, -7)
(-8, -7)
(16, -7)
(6, 0)
(-6, 0)
(14, 0)
(-14, 0)
(3, 13)
(11, 13)
(-3, 13)
(-11, 13)
(19, 13)
(1, 6)
(9, 6)
(-1, 6)
(-9, 6)
(1, -6)
(-1, -6)
(9, -6)
(-9, -6)
(17, 6)
(17, -6)
(4, 12)
(12, 12)
(-4, 12)
(-12, 12)
(20, 12)
(4, -12)
(-4, -12)
(12, -12)
(2, 5)
(-2, 5)
(10, 5)
(2, -5)
(-2, -5)
(-10, 5)
(10, -5)
(-10, -5)
(18, 5)
(18, -5)
(5, 11)
(13, 11)
(-5, 11)
(-13, 11)
(5, -11)
(-5, -11)
(13, -11)
(3, 4)
(-3, 4)
(11, 4)
(3, -4)
(-3, -4)
(11, -4)
(-11, 4)
(-11, -4)
(19, 4)
(19, -4)
(6, 10)
(-6, 10)
(14, 10)
(6, -10)
(-6, -10)
(-14, 10)
(14, -10)
(-14, -10)
(4, 3)
(-4, 3)
(4, -3)
(12, 3)
(-4, -3)
(12, -3)
(-12, 3)
(-12, -3)
(20, 3)
(20, -3)
(7, 9)
(-7, 9)
(15, 9)
(7, -9)
(-7, -9)
(15, -9)
(-15, 9)
(-15, -9)
(5, 2)
(-5, 2)
(5, -2)
(-5, -2)
(13, 2)
(13, -2)
(-13, 2)
(-13, -2)
(8, 8)
(0, 8)
(-8, 8)
(8, -8)
(16, 8)
(0, -8)
(-8, -8)
(16, -8)
(6, 1)
(6, -1)
(-6, 1)
(-6, -1)
(14, 1)
(14, -1)
(-14, 1)
(-14, -1)
(3, 14)
(11, 14)
(-3, 14)
(-11, 14)
(19, 14)
(1, 7)
(9, 7)
(-1, 7)
(-9, 7)
(1, -7)
(-1, -7)
(9, -7)
(17, 7)
(-9, -7)
(17, -7)
(7, 0)
(-7, 0)
(15, 0)
(-15, 0)
(4, 13)
(12, 13)
(-4, 13)
(-12, 13)
(20, 13)
(2, 6)
(-2, 6)
(10, 6)
(2, -6)
(-2, -6)
(-10, 6)
(10, -6)
(-10, -6)
(18, 6)
(18, -6)
(5, 12)
(13, 12)
(-5, 12)
(-13, 12)
(5, -12)
(-5, -12)
(13, -12)
(3, 5)
(-3, 5)
(11, 5)
(3, -5)
(-3, -5)
(11, -5)
(-11, 5)
(-11, -5)
(19, 5)
(19, -5)
(6, 11)
(-6, 11)
(14, 11)
(-14, 11)
(6, -11)
(-6, -11)
(4, 4)
(-4, 4)
(12, 4)
(4, -4)
(-4, -4)
(12, -4)
(-12, 4)
(-12, -4)
(20, 4)
(20, -4)
(7, 10)
(-7, 10)
(15, 10)
(7, -10)
(-7, -10)
(-15, 10)
(15, -10)
(-15, -10)
(5, 3)
(-5, 3)
(5, -3)
(13, 3)
(-5, -3)
(13, -3)
(-13, 3)
(-13, -3)
(8, 9)
(0, 9)
(-8, 9)
(16, 9)
(8, -9)
(-8, -9)
(0, -9)
(16, -9)
(6, 2)
(-6, 2)
(6, -2)
(-6, -2)
(14, 2)
(14, -2)
(-14, 2)
(-14, -2)
(1, 8)
(9, 8)
(-1, 8)
(-9, 8)
(-1, -8)
(9, -8)
(1, -8)
(17, 8)
(-9, -8)
(17, -8)
(15, 1)
(15, -1)
(7, 1)
(7, -1)
(-7, -1)
(-7, 1)
(4, 14)
(-4, 14)
(12, 14)
(-12, 14)
(-15, 1)
(-15, -1)
(20, 14)
(-2, -7)
(-10, 7)
(2, 7)
(10, 7)
(-2, 7)
(2, -7)
(10, -7)
(-10, -7)
(18, 7)
(18, -7)
(0, 0)
